TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
731205    2442021.500000000000     -.224800    .12000   .29600
731206    2442022.500000000000     -.228000    .12000   .29500
731207    2442023.500000000000     -.231100    .12100   .29300
731208    2442024.500000000000     -.234300    .12200   .29200
731209    2442025.500000000000     -.237400    .12300   .29100
731210    2442026.500000000000     -.240500    .12400   .28900
731211    2442027.500000000000     -.243600    .12400   .28800
731212    2442028.500000000000     -.246700    .12500   .28600
731213    2442029.500000000000     -.249800    .12600   .28500
731214    2442030.500000000000     -.252800    .12700   .28300
731215    2442031.500000000000     -.255800    .12700   .28200
731216    2442032.500000000000     -.258900    .12800   .28000
731217    2442033.500000000000     -.261900    .12800   .27900
731218    2442034.500000000000     -.264900    .12900   .27700
731219    2442035.500000000000     -.267800    .12900   .27500
731220    2442036.500000000000     -.270800    .13000   .27400
731221    2442037.500000000000     -.273700    .13000   .27200
731222    2442038.500000000000     -.276700    .13100   .27100
731223    2442039.500000000000     -.279600    .13100   .26900
731224    2442040.500000000000     -.282300    .13100   .26700
731225    2442041.500000000000     -.285000    .13100   .26500
731226    2442042.500000000000     -.287600    .13100   .26300
731227    2442043.500000000000     -.290300    .13100   .26100
731228    2442044.500000000000     -.293000    .13100   .26000
731229    2442045.500000000000     -.295200    .13100   .25800
731230    2442046.500000000000     -.297400    .13100   .25600
731231    2442047.500000000000     -.299700    .13100   .25400
740101    2442048.500000000000      .698100    .13100   .25200
740102    2442049.500000000000      .695900    .13100   .25000
740103    2442050.500000000000      .693400    .13000   .24800
740104    2442051.500000000000      .690900    .12900   .24600
740105    2442052.500000000000      .688500    .12900   .24300
740106    2442053.500000000000      .686000    .12800   .24100
740107    2442054.500000000000      .683500    .12700   .23900
740108    2442055.500000000000      .680700    .12600   .23700
740109    2442056.500000000000      .677800    .12500   .23500
740110    2442057.500000000000      .675000    .12500   .23200
740111    2442058.500000000000      .672100    .12400   .23000
740112    2442059.500000000000      .669300    .12300   .22800
740113    2442060.500000000000      .666600    .12200   .22600
740114    2442061.500000000000      .663900    .12000   .22400
740115    2442062.500000000000      .661100    .11900   .22200
740116    2442063.500000000000      .658400    .11800   .22000
740117    2442064.500000000000      .655700    .11700   .21800
740118    2442065.500000000000      .653400    .11500   .21600
740119    2442066.500000000000      .651100    .11400   .21400
740120    2442067.500000000000      .648900    .11300   .21200
740121    2442068.500000000000      .646600    .11100   .21000
740122    2442069.500000000000      .644300    .11000   .20800
740123    2442070.500000000000      .642000    .10900   .20700
740124    2442071.500000000000      .639700    .10800   .20500
740125    2442072.500000000000      .637500    .10600   .20400
740126    2442073.500000000000      .635200    .10500   .20200
740127    2442074.500000000000      .632900    .10400   .20100
740128    2442075.500000000000      .630200    .10300   .20000
740129    2442076.500000000000      .627600    .10200   .19800
740130    2442077.500000000000      .624900    .10000   .19700
740131    2442078.500000000000      .622300    .09900   .19500
740201    2442079.500000000000      .619600    .09800   .19400
740202    2442080.500000000000      .616700    .09700   .19300
740203    2442081.500000000000      .613900    .09600   .19300
740204    2442082.500000000000      .611000    .09500   .19200
740205    2442083.500000000000      .608200    .09400   .19200
740206    2442084.500000000000      .605300    .09300   .19100
740207    2442085.500000000000      .602400    .09200   .19000
740208    2442086.500000000000      .599600    .09100   .19000
740209    2442087.500000000000      .596700    .09000   .18900
740210    2442088.500000000000      .593900    .08900   .18900
740211    2442089.500000000000      .591000    .08800   .18800
740212    2442090.500000000000      .588300    .08700   .18800
740213    2442091.500000000000      .585600    .08600   .18700
740214    2442092.500000000000      .583000    .08600   .18700
740215    2442093.500000000000      .580300    .08500   .18600
740216    2442094.500000000000      .577600    .08400   .18600
740217    2442095.500000000000      .575000    .08300   .18600
740218    2442096.500000000000      .572400    .08200   .18500
740219    2442097.500000000000      .569700    .08200   .18500
740220    2442098.500000000000      .567100    .08100   .18400
740221    2442099.500000000000      .564500    .08000   .18400
